version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,team,none,v0+peb1c8179815b+t6cdb53d5d7b8,eb1c8179815b,6cdb53d5d7b8,baseline run with unmodified starter system_prompt.md and tools.yaml,none (baseline),case_accuracy,,0.75,runs/v0_B_base_openrouter_20260729T093938896245.json
v1,team,system_prompt.md,v1+p958d9cdf5aed+t6cdb53d5d7b8,958d9cdf5aed,6cdb53d5d7b8,starter prompt explicitly told the model to guess a well-known account/URL instead of asking and to always send without confirmation,agent fails out_of_scope/missing_info/wrong_boundary cases because the prompt tells it to guess instead of clarify and to auto-send; rewriting the prompt to require clarify before guessing and confirm before send will fix R08/R10/R11/R12,case_accuracy,0.75,0.80,runs/v1_B_base_openrouter_20260729T094232727742.json
v2,team,system_prompt.md,v2+pe97b84f9e5fd+t6cdb53d5d7b8,e97b84f9e5fd,6cdb53d5d7b8,v1's new dual-tool rule (call lookup AND social_search together) was too broad and fired on single-source queries,restricting the dual-call rule to only trigger when the user explicitly mentions both web and Twitter/tweet in the same request will remove the extra_tool_call failures on R03/R06/M06,case_accuracy,0.80,0.95,runs/v2_B_base_openrouter_20260729T094413340905.json
v3,team,system_prompt.md,v3+p7d67ba4319a3+t6cdb53d5d7b8,7d67ba4319a3,6cdb53d5d7b8,M02 still picked the wrong tool (social_search instead of lookup) on a multi-turn follow-up that only changed the topic keyword,carry-over rule only mentioned args (handle/limit/timeframe) not the tool itself; making it explicit that the tool choice also carries over unless the latest turn names a different source (Twitter/web) will fix M02,case_accuracy,0.95,1.00,runs/v3_B_base_openrouter_20260729T094607757391.json
v3,team,tools.yaml + system_prompt.md,v3+pab0fde4be62d+t10803e273452,ab0fde4be62d,10803e273452,added new team tool wiki_lookup to tools.yaml/tools/__init__.py; adding it as a routing option regressed R10 and M02 back to wrong_tool even though those rules already existed,giving the model one more tool option makes it second-guess previously-fixed routing decisions; adding concrete worked examples (not just abstract rules) for the missing-handle and carry-over cases will re-pin the behavior,case_accuracy,1.00,0.90,runs/v3_B_base_openrouter_20260729T095033084301.json
v3,team,system_prompt.md,v3+p22b152ab4fe2+t10803e273452,22b152ab4fe2,10803e273452,added worked examples for missing-handle clarify and lookup carry-over; routing recovered to 1.0 but R10/R11 now fail on args because clarify calls omit response_type,concrete examples fix routing_correct; remaining wrong_arg_value failures need an explicit instruction to always pass response_type instead of relying on the YAML default,case_accuracy,0.90,0.90,runs/v3_B_base_openrouter_20260729T095956079243.json
v3,team,system_prompt.md,v3+p20c6115f36dc+t10803e273452,20c6115f36dc,10803e273452,told the model to always pass response_type explicitly on every clarify call instead of relying on the tools.yaml default,explicit response_type instruction removes the wrong_arg_value failures on R10/R11 without touching routing,case_accuracy,0.90,1.00,runs/v3_B_base_openrouter_20260729T100112668426.json
v3,team,data/eval_group.json (first run, no prompt change),v3+p20c6115f36dc+t10803e273452,20c6115f36dc,10803e273452,first run of the 10 team-authored group cases; G08 failed because the model guessed handle 'yannlecun' instead of the real 'ylecun',model lacks reliable world knowledge of less-common real handles; adding ylecun as a worked example alongside sama/elonmusk/karpathy will fix it,case_accuracy(group),,0.90,runs/v3_B_group_openrouter_20260729T100542197945.json
v3,team,system_prompt.md,v3+pb89873bb7cb5+t10803e273452,b89873bb7cb5,10803e273452,added Yann LeCun->ylecun as a known-handle example; G08 fixed but G10 (adversarial 'khoi can hoi lai' pressure to skip confirmation) failed this run,model sometimes complies with in-message pressure to skip the send confirmation; need to explicitly instruct that such pressure is not a valid confirmation,case_accuracy(group),0.90,0.90,runs/v3_B_group_openrouter_20260729T100719025278.json
v3,team,system_prompt.md,v3+p90ee062bd85d+t10803e273452,90ee062bd85d,10803e273452,told the model explicitly that phrases like 'khoi can hoi lai'/'dang luon di' are pressure, not confirmation, and clarify(yes_no) must still be called first,explicit anti-pressure instruction should make the confirm-before-send boundary hold under adversarial phrasing,case_accuracy(group),0.90,1.00,runs/v3_B_group_openrouter_20260729T100916985040.json
v3,team,tools.yaml + system_prompt.md,v3+p2b8328eb8018+t2a4ffeb7ceda,2b8328eb8018,2a4ffeb7ceda,added explicit 2-step pipelines (lookup->fetch->format->AI summary->send for news; papers->paper_text->AI summary->send for arxiv papers) plus papers/paper_text routing rule and pipeline-aware tool descriptions in tools.yaml,defining the pipelines explicitly should let the agent chain multi-round tool calls correctly in chat.py/UI for 'summarize and send' requests,case_accuracy,1.00,0.95,runs/v3_B_base_openrouter_20260729T103728889752.json
v3,team,system_prompt.md,v3+p1128827531e0+t2a4ffeb7ceda,1128827531e0,2a4ffeb7ceda,R12 regressed: pipeline wording made the model ask for the news content before confirming send instead of confirming first,added a rule that generic references to already-discussed content ('ban tin nay') should not trigger a text clarify for missing content; still failed this run,case_accuracy,0.95,0.95,runs/v3_B_base_openrouter_20260729T103859445348.json
v3,team,system_prompt.md,v3+p3f60b76e25f6+t2a4ffeb7ceda,3f60b76e25f6,2a4ffeb7ceda,added a concrete worked example pinning 'Dang ban tin nay len Telegram giup minh' -> clarify(yes_no), explicitly forbidding response_type=text for send-confirmation requests,concrete example (not abstract rule) restores case_accuracy to 1.0; reran group suite too to confirm no cross-regression,case_accuracy,0.95,1.00,runs/v3_B_base_openrouter_20260729T104008378706.json
v3,team,none (verification only),v3+p3f60b76e25f6+t2a4ffeb7ceda,3f60b76e25f6,2a4ffeb7ceda,reran group suite after the pipeline+boundary fixes to confirm no cross-regression from the base-eval fix,none — verification run,case_accuracy(group),1.00,1.00,runs/v3_B_group_openrouter_20260729T104052533842.json
